iter	Passed	Remaining
944	4168	242
945	4170	238
946	4172	233
947	4175	229
948	4177	224
949	4179	219
950	4183	215
951	4186	211
952	4188	206
953	4190	202
954	4193	197
955	4196	193
956	4198	188
957	4200	184
958	4203	179
959	4206	175
960	4208	170
961	4212	166
962	4214	161
963	4217	157
964	4221	153
965	4223	148
966	4226	144
967	4229	139
968	4231	135
969	4234	130
970	4236	126
971	4240	122
972	4243	117
973	4245	113
974	4247	108
975	4250	104
976	4252	100
977	4256	95
978	4258	91
979	4261	86
980	4263	82
981	4266	78
982	4268	73
983	4271	69
984	4274	65
985	4277	60
986	4280	56
987	4286	52
988	4290	47
989	4292	43
990	4295	39
991	4298	34
992	4301	30
993	4304	25
994	4307	21
995	4310	17
996	4312	12
997	4315	8
998	4317	4
999	4320	0
